Intent,Question,Answer
testing,What disinfectant should personnel use to decontaminate work surfaces?,"Decontaminate work surfaces and equipment with appropriate disinfectants. Use EPA-registered hospital disinfectants with label claims to be effective againstSARS-CoV-2external icon. Follow manufacturerâ€™s recommendations for use, such as dilution, contact time, and safe handling."
testing,How should specimens be stored?,"Store specimens at 2-8oC for up to 72 hours after collection. If a delay occurs in extraction, store specimens at -70oC or lower. Store extracted nucleic acid samples at -70oC or lower.For additional information, refer to the following:Interim Infection Prevention and Control Recommendations for Patients with Suspected or Confirmed Coronavirus Disease 2019 (COVID-19) in Healthcare SettingsCDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panelexternal icon"
testing,How should laboratory personnel remove biohazardous waste from the laboratory or testing area for decontamination and disposal?,"Handle laboratory waste from testing suspected or confirmed COVID-19 patient specimens as all other biohazardous waste in the laboratory. Currently, there is no evidence to suggest that this laboratory waste needs additional packaging or disinfection procedures.For additional information, refer to the following:Biosafety in Microbiological and Biomedical Laboratories (BMBL) (5th edition)"
testing,How should personnel transport suspected or confirmed SARS CoV-2 specimens within a facility?,"Personnel should adhere to standard procedures associated with other respiratory pathogens, such as seasonal influenza and other human coronaviruses, when they transport specimens within a facility. Personnel should perform site- and activity-specific risk assessments to determine if enhanced biosafety precautions are warranted based on situational needs.For additional information, refer to the following:Interim Laboratory Biosafety Guidelines for Handling and Processing Specimens Associated with Coronavirus Disease 2019 (COVID-19)Laboratory biosafety guidance related to the novel coronavirus (2019-nCoV).pdfpdf iconexternal icon"
testing,What are Standard Precautions?,"Standard Precautions are based on the principle that all blood, body fluids, secretions, nonintact skin, mucous membranes, and excretions (except sweat) may contain transmissible infectious agents. Standard Precautions include hand hygiene and the use of personal protective equipment (PPE) such as laboratory coats or gowns, gloves, and eye protection.For additional information, refer to the following:2007 Guideline for Isolation Precautions: Preventing Transmission of Infectious Agents in Healthcare Settingspdf iconpdf iconCDC Isolation Precautions"
general,What are infectious aerosols and droplets?,"Aerosols and dropletscontaining particles that are <100 Î¼m in diameter are not visible to the naked eye. Laboratory workers may not be aware that such particles can be generated during many laboratory procedures and that these particles could be inhaled or could cross-contaminate work surfaces, materials, and equipment.Infectious aerosolsare small liquid or solid particles suspended in the air that contain infectious agents. They can disperse throughout the laboratory and remain infective over time and distance. These particles are of a size that may be inhaled into the lower respiratory tract (<5 Î¼m in diameter). Examples of organisms transmitted by aerosols include spores of Aspergillus spp., Mycobacterium tuberculosis, rubeola virus (measles), and varicella-zoster virus (chickenpox).Dropletstraditionally are defined as larger infectious particles (>5 Î¼m in diameter) that rapidly fall out of the air, contaminating gloves, the immediate work area, and the mucous membranes of the persons performing the procedure.Examples of infectious agents that are transmitted via the droplet route include Bordetella pertussis, influenza viruses, adenovirus, Mycoplasma pneumoniae, SARS-associated coronavirus (SARS-CoV), group A streptococcus, and Neisseria meningitidis.For additional information, refer to the following:WHO Laboratory Biosafety Manual, 3rdpdf iconexternal icon2007 Guideline for Isolation Precautions: Preventing Transmission of Infectious Agents in Healthcare Settingspdf iconpdf iconCDC Isolation Precautions"
testing,At what temperature should specimens be shipped?,"Specimens should be shipped at 2-8oC with ice packs. If the specimen is frozen, ship overnight on dry ice. The primary receptacle and the secondary packaging should maintain their integrity at the temperature of the refrigerant used as well as the temperatures and the pressures which could result if refrigeration were lost. Packages containing dry ice should be designed and constructed so as to prevent the buildup of pressure and to allow the release of gas that could rupture the packaging.For additional information, refer to the following:CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panelexternal iconInterim Laboratory Biosafety Guidelines for Handling and Processing Specimens Associated with Coronavirus Disease 2019 (COVID-19)"
prevention and protection,Why do you need to wear cloth face coverings?,"In light of new data abouthow COVID-19 spreads, along with evidence of widespread COVID-19 illness in communities across the country, CDC recommends that people wear acloth face coveringto cover their nose and mouth in the community setting. This is to protect people around you if you are infected but do not have symptoms."
prevention and protection,When do you need to wear a cloth face covering?,"A cloth face covering should be worn whenever people are in a community setting, especially in situations where you may be near people. These settings include grocery stores and pharmacies. These face coverings are not a substitute for social distancing. Cloth face coverings are especially important to wear in public in areas of widespread COVID-19 illness."
prevention and protection,Do I still need to stay at least 6 feet away from people if wearing a cloth face covering?,"Yes. Wearing cloth face coverings is an additional public health measure people should take to reduce the spread of COVID-19. CDC still recommends that you stay at least 6 feet away from other people (social distancing), frequent hand cleaning and other everyday preventive actions. A cloth face covering is not intended to protect the wearer, but it may prevent the spread of virus from the wearer to others. This would be especially important if someone is infected but does not have symptoms. View CDCâ€™s guidance onhow to protect yourself."
